ID,u1,u2,u3,u4,u5,u6
183,-0.35,0.3,-0.25,0.35,0.0,-0.25
184,-0.35,0.3,-0.25,0.35,0.0,0.0
185,-0.35,0.3,-0.25,0.35,0.0,0.25
186,-0.35,0.3,-0.25,0.35,0.3,-0.25
187,-0.35,0.3,-0.25,0.35,0.3,0.0
188,-0.35,0.3,-0.25,0.35,0.3,0.25
189,-0.35,0.3,0.0,-0.35,-0.3,-0.25
190,-0.35,0.3,0.0,-0.35,-0.3,0.0
191,-0.35,0.3,0.0,-0.35,-0.3,0.25
192,-0.35,0.3,0.0,-0.35,0.0,-0.25
193,-0.35,0.3,0.0,-0.35,0.0,0.0
194,-0.35,0.3,0.0,-0.35,0.0,0.25
195,-0.35,0.3,0.0,-0.35,0.3,-0.25
196,-0.35,0.3,0.0,-0.35,0.3,0.0
197,-0.35,0.3,0.0,-0.35,0.3,0.25
198,-0.35,0.3,0.0,0.0,-0.3,-0.25
199,-0.35,0.3,0.0,0.0,-0.3,0.0
200,-0.35,0.3,0.0,0.0,-0.3,0.25
201,-0.35,0.3,0.0,0.0,0.0,-0.25
202,-0.35,0.3,0.0,0.0,0.0,0.0
203,-0.35,0.3,0.0,0.0,0.0,0.25
204,-0.35,0.3,0.0,0.0,0.3,-0.25
205,-0.35,0.3,0.0,0.0,0.3,0.0
206,-0.35,0.3,0.0,0.0,0.3,0.25
207,-0.35,0.3,0.0,0.35,-0.3,-0.25
208,-0.35,0.3,0.0,0.35,-0.3,0.0
209,-0.35,0.3,0.0,0.35,-0.3,0.25
210,-0.35,0.3,0.0,0.35,0.0,-0.25
211,-0.35,0.3,0.0,0.35,0.0,0.0
212,-0.35,0.3,0.0,0.35,0.0,0.25
213,-0.35,0.3,0.0,0.35,0.3,-0.25
214,-0.35,0.3,0.0,0.35,0.3,0.0
215,-0.35,0.3,0.0,0.35,0.3,0.25
216,-0.35,0.3,0.25,-0.35,-0.3,-0.25
217,-0.35,0.3,0.25,-0.35,-0.3,0.0
218,-0.35,0.3,0.25,-0.35,-0.3,0.25
219,-0.35,0.3,0.25,-0.35,0.0,-0.25
220,-0.35,0.3,0.25,-0.35,0.0,0.0
221,-0.35,0.3,0.25,-0.35,0.0,0.25
222,-0.35,0.3,0.25,-0.35,0.3,-0.25
223,-0.35,0.3,0.25,-0.35,0.3,0.0
224,-0.35,0.3,0.25,-0.35,0.3,0.25
225,-0.35,0.3,0.25,0.0,-0.3,-0.25
226,-0.35,0.3,0.25,0.0,-0.3,0.0
227,-0.35,0.3,0.25,0.0,-0.3,0.25
228,-0.35,0.3,0.25,0.0,0.0,-0.25
229,-0.35,0.3,0.25,0.0,0.0,0.0
230,-0.35,0.3,0.25,0.0,0.0,0.25
231,-0.35,0.3,0.25,0.0,0.3,-0.25
232,-0.35,0.3,0.25,0.0,0.3,0.0
233,-0.35,0.3,0.25,0.0,0.3,0.25
234,-0.35,0.3,0.25,0.35,-0.3,-0.25
235,-0.35,0.3,0.25,0.35,-0.3,0.0
236,-0.35,0.3,0.25,0.35,-0.3,0.25
237,-0.35,0.3,0.25,0.35,0.0,-0.25
238,-0.35,0.3,0.25,0.35,0.0,0.0
239,-0.35,0.3,0.25,0.35,0.0,0.25
240,-0.35,0.3,0.25,0.35,0.3,-0.25
241,-0.35,0.3,0.25,0.35,0.3,0.0
242,-0.35,0.3,0.25,0.35,0.3,0.25
243,0.0,-0.3,-0.25,-0.35,-0.3,-0.25
244,0.0,-0.3,-0.25,-0.35,-0.3,0.0
245,0.0,-0.3,-0.25,-0.35,-0.3,0.25
246,0.0,-0.3,-0.25,-0.35,0.0,-0.25
247,0.0,-0.3,-0.25,-0.35,0.0,0.0
248,0.0,-0.3,-0.25,-0.35,0.0,0.25
249,0.0,-0.3,-0.25,-0.35,0.3,-0.25
250,0.0,-0.3,-0.25,-0.35,0.3,0.0
251,0.0,-0.3,-0.25,-0.35,0.3,0.25
252,0.0,-0.3,-0.25,0.0,-0.3,-0.25
253,0.0,-0.3,-0.25,0.0,-0.3,0.0
254,0.0,-0.3,-0.25,0.0,-0.3,0.25
255,0.0,-0.3,-0.25,0.0,0.0,-0.25
256,0.0,-0.3,-0.25,0.0,0.0,0.0
257,0.0,-0.3,-0.25,0.0,0.0,0.25
258,0.0,-0.3,-0.25,0.0,0.3,-0.25
259,0.0,-0.3,-0.25,0.0,0.3,0.0
260,0.0,-0.3,-0.25,0.0,0.3,0.25
261,0.0,-0.3,-0.25,0.35,-0.3,-0.25
